Date,Day Type,Movement,Movement Type,Weight,Sets,Reps,RPE
05/06/2021,Push,Bench Press,Compound,340,2,6,9
05/06/2021,Push,OHP,Compound,180,1,6,10
05/06/2021,Push,OHP,Compound,345,5,2,10
05/06/2021,Legs,Back Squat,Compound,385,4,8,10
05/06/2021,Pull,Barbell Row,Compound,335,4,10,10
05/07/2021,Pull,Deadlift,Compound,175,5,5,8
05/07/2021,Legs,Front Squat,Compound,305,4,7,9
05/07/2021,Legs,Back Squat,Compound,300,3,1,9
05/07/2021,Legs,Front Squat,Compound,190,3,2,8
05/08/2021,Legs,Front Squat,Compound,205,3,8,9
05/08/2021,Legs,Back Squat,Compound,275,5,7,9
05/08/2021,Pull,Deadlift,Compound,265,2,7,7
05/08/2021,Push,Bench Press,Compound,200,2,4,8
05/09/2021,Push,Bench Press,Compound,220,3,7,10
05/10/2021,Push,Bench Press,Compound,215,3,9,8
05/10/2021,Pull,Deadlift,Compound,390,3,9,8
05/11/2021,Push,OHP,Compound,360,3,7,10
05/11/2021,Pull,Deadlift,Compound,335,1,8,10
05/11/2021,Pull,Deadlift,Compound,235,1,2,10
05/11/2021,Legs,Back Squat,Compound,205,3,4,10
05/12/2021,Push,Bench Press,Compound,205,2,6,7
05/12/2021,Pull,Deadlift,Compound,355,5,2,7
05/13/2021,Pull,Barbell Row,Compound,285,5,4,8
05/13/2021,Legs,Back Squat,Compound,205,2,3,8
05/13/2021,Push,OHP,Compound,280,5,2,10
05/13/2021,Pull,Barbell Row,Compound,180,1,6,10
05/13/2021,Legs,Back Squat,Compound,250,1,8,7
05/14/2021,Push,Bench Press,Compound,390,5,5,9
05/14/2021,Legs,Front Squat,Compound,375,2,8,9
05/14/2021,Pull,Deadlift,Compound,145,4,6,10
05/14/2021,Legs,Back Squat,Compound,325,2,10,8
05/15/2021,Push,OHP,Compound,350,2,10,10
05/15/2021,Push,OHP,Compound,285,5,10,7
05/17/2021,Pull,Barbell Row,Compound,250,3,1,7
05/17/2021,Pull,Barbell Row,Compound,320,3,8,8
05/17/2021,Push,Bench Press,Compound,330,1,3,7
05/18/2021,Legs,Back Squat,Compound,175,5,7,7
05/18/2021,Legs,Back Squat,Compound,215,5,5,8
05/18/2021,Push,OHP,Compound,280,5,2,10
05/18/2021,Legs,Front Squat,Compound,240,2,8,7
05/18/2021,Legs,Front Squat,Compound,240,4,5,9
05/19/2021,Legs,Front Squat,Compound,315,3,4,7
05/19/2021,Pull,Barbell Row,Compound,240,2,2,10
05/19/2021,Push,OHP,Compound,285,1,8,9
05/19/2021,Pull,Barbell Row,Compound,335,1,2,7
05/20/2021,Pull,Barbell Row,Compound,305,1,1,10
05/20/2021,Pull,Barbell Row,Compound,280,5,2,7
05/20/2021,Pull,Barbell Row,Compound,245,1,9,9
05/20/2021,Legs,Front Squat,Compound,225,5,1,8
05/20/2021,Legs,Back Squat,Compound,320,2,3,10
05/21/2021,Pull,Deadlift,Compound,205,5,7,10
05/21/2021,Pull,Deadlift,Compound,200,2,6,9
05/23/2021,Legs,Back Squat,Compound,255,1,5,7
05/23/2021,Pull,Barbell Row,Compound,325,1,5,8
05/24/2021,Pull,Barbell Row,Compound,385,5,3,8
05/24/2021,Push,OHP,Compound,400,5,7,10
05/25/2021,Pull,Barbell Row,Compound,175,2,6,8
05/25/2021,Pull,Deadlift,Compound,375,5,1,8
05/25/2021,Pull,Barbell Row,Compound,215,2,5,9
05/26/2021,Legs,Back Squat,Compound,200,2,6,9
05/26/2021,Pull,Barbell Row,Compound,195,2,3,9
05/26/2021,Pull,Deadlift,Compound,270,5,1,10
05/27/2021,Pull,Barbell Row,Compound,250,2,4,9
05/27/2021,Push,OHP,Compound,190,1,10,7
05/27/2021,Push,OHP,Compound,265,2,10,9
05/27/2021,Push,OHP,Compound,145,4,8,10
05/28/2021,Pull,Deadlift,Compound,280,3,9,9
05/28/2021,Pull,Deadlift,Compound,170,5,7,7
05/28/2021,Legs,Back Squat,Compound,330,5,6,10
05/28/2021,Push,Bench Press,Compound,195,4,8,8
05/28/2021,Push,OHP,Compound,170,1,9,9
05/28/2021,Legs,Back Squat,Compound,230,2,5,9
05/28/2021,Push,Bench Press,Compound,375,1,3,9
05/29/2021,Push,OHP,Compound,200,3,7,7
05/29/2021,Pull,Barbell Row,Compound,385,4,4,7
05/30/2021,Pull,Barbell Row,Compound,390,2,6,7
05/30/2021,Push,Bench Press,Compound,400,1,3,7
05/30/2021,Pull,Deadlift,Compound,345,1,7,7
05/31/2021,Pull,Barbell Row,Compound,290,3,1,9
05/31/2021,Legs,Back Squat,Compound,290,4,7,7
05/31/2021,Pull,Deadlift,Compound,355,4,10,8
06/02/2021,Push,OHP,Compound,215,1,2,9
06/02/2021,Legs,Front Squat,Compound,210,4,7,10
06/03/2021,Push,Bench Press,Compound,235,5,2,10
06/03/2021,Push,OHP,Compound,215,5,7,8
06/04/2021,Legs,Front Squat,Compound,155,3,1,10
06/04/2021,Legs,Back Squat,Compound,245,2,3,10
06/04/2021,Push,Bench Press,Compound,225,1,10,9
06/04/2021,Pull,Deadlift,Compound,370,2,5,9
06/05/2021,Pull,Barbell Row,Compound,325,1,1,7
06/05/2021,Pull,Deadlift,Compound,340,4,4,8
06/05/2021,Pull,Deadlift,Compound,215,4,7,7
06/05/2021,Push,OHP,Compound,385,3,8,8
06/06/2021,Pull,Deadlift,Compound,170,5,2,7
06/06/2021,Pull,Barbell Row,Compound,230,2,10,8
06/06/2021,Legs,Front Squat,Compound,280,2,7,10
06/06/2021,Pull,Barbell Row,Compound,150,3,1,7
06/06/2021,Push,Bench Press,Compound,255,5,3,7
06/06/2021,Pull,Barbell Row,Compound,265,2,10,7
06/06/2021,Legs,Back Squat,Compound,340,3,7,9
06/07/2021,Legs,Front Squat,Compound,255,5,10,8
06/07/2021,Legs,Back Squat,Compound,155,5,5,7
06/07/2021,Legs,Back Squat,Compound,370,3,4,8
06/07/2021,Push,OHP,Compound,350,1,10,9
06/07/2021,Pull,Deadlift,Compound,295,2,9,8
06/07/2021,Pull,Deadlift,Compound,255,1,6,8
06/08/2021,Pull,Barbell Row,Compound,295,1,8,9
06/08/2021,Pull,Deadlift,Compound,310,5,2,10
06/09/2021,Pull,Deadlift,Compound,190,5,9,10
06/10/2021,Push,Bench Press,Compound,320,3,5,9
06/10/2021,Push,OHP,Compound,350,2,4,9
06/10/2021,Pull,Barbell Row,Compound,290,1,5,7
06/10/2021,Push,Bench Press,Compound,295,3,5,9
06/11/2021,Pull,Barbell Row,Compound,265,5,3,10
06/11/2021,Push,Bench Press,Compound,255,4,4,9
06/11/2021,Push,OHP,Compound,185,2,3,8
06/11/2021,Push,Bench Press,Compound,375,5,6,10
06/12/2021,Legs,Back Squat,Compound,360,2,5,7
06/12/2021,Legs,Back Squat,Compound,270,5,8,7
06/12/2021,Push,Bench Press,Compound,155,3,9,10
06/12/2021,Legs,Back Squat,Compound,365,3,9,9
06/12/2021,Pull,Barbell Row,Compound,160,3,2,10
06/13/2021,Push,Bench Press,Compound,250,3,7,9
06/13/2021,Pull,Deadlift,Compound,315,3,3,7
06/13/2021,Legs,Front Squat,Compound,185,1,4,9
06/13/2021,Pull,Barbell Row,Compound,365,3,3,9
06/14/2021,Legs,Back Squat,Compound,325,5,7,10
06/14/2021,Pull,Barbell Row,Compound,240,2,9,9
06/15/2021,Push,OHP,Compound,315,2,9,7
06/15/2021,Pull,Deadlift,Compound,275,3,1,10
06/15/2021,Legs,Back Squat,Compound,370,3,6,9
06/15/2021,Pull,Barbell Row,Compound,145,4,7,7
06/16/2021,Legs,Front Squat,Compound,240,3,3,9
06/16/2021,Pull,Barbell Row,Compound,180,2,6,7
06/16/2021,Push,Bench Press,Compound,380,5,4,7
06/17/2021,Legs,Front Squat,Compound,280,5,2,7
06/17/2021,Push,OHP,Compound,135,5,5,9
06/18/2021,Pull,Barbell Row,Compound,370,3,3,7
06/19/2021,Pull,Barbell Row,Compound,235,4,10,9
06/19/2021,Push,OHP,Compound,330,4,3,9
06/20/2021,Push,Bench Press,Compound,150,1,1,10
06/20/2021,Push,Bench Press,Compound,400,3,1,10
06/20/2021,Legs,Back Squat,Compound,160,2,7,8
06/21/2021,Pull,Deadlift,Compound,330,1,7,9
06/21/2021,Legs,Back Squat,Compound,305,2,6,7
06/21/2021,Legs,Front Squat,Compound,380,3,5,7
06/22/2021,Pull,Deadlift,Compound,175,1,6,8
06/22/2021,Legs,Back Squat,Compound,140,2,3,10
06/22/2021,Push,OHP,Compound,230,3,5,10
06/22/2021,Push,OHP,Compound,190,4,8,10
